setting,method,deaths_mean,deaths_std,runtime_sec,gamma
net_BA,OC-Guided,25.5,3.7,8.2,-
net_BA,Node RL,23.7,3.4,116.0,0.99
net_BA,Naive RL,27.2,5.7,126.7,0.99
net_ER,OC-Guided,20.0,4.3,8.6,-
net_ER,Node RL,23.9,4.8,117.5,0.99
net_ER,Naive RL,25.4,6.1,128.7,0.99
net_WS,OC-Guided,22.7,3.3,8.5,-
net_WS,Node RL,21.8,4.0,116.2,0.99
net_WS,Naive RL,24.2,3.1,127.2,0.99
net_Regular,OC-Guided,22.9,5.5,8.7,-
net_Regular,Node RL,26.4,5.0,124.1,0.99
net_Regular,Naive RL,26.4,5.0,136.3,0.99
