setting,method,deaths_mean,deaths_std,runtime_sec,gamma
horizon_30,OC-Guided,12.0,3.2,3.0,-
horizon_30,Node RL,11.1,3.3,73.0,0.99
horizon_30,Naive RL,10.6,1.9,78.9,0.99
horizon_60,OC-Guided,25.5,3.7,8.4,-
horizon_60,Node RL,28.7,7.1,115.1,0.99
horizon_60,Naive RL,27.2,5.7,126.6,0.99
