scenario,method,deaths_mean,deaths_std
baseline,OC_Guided,25.5,3.7
baseline,Group_RL (warm),27.9,5.6
baseline,Node_RL (cold),26.6,4.9
baseline,Node_RL (warm),31.1,4.5
baseline,"NodeHorizon (a=3,warm)",25.9,3.7
hard,OC_Guided,50.7,6.8
hard,Group_RL (warm),56.0,4.5
hard,Node_RL (cold),53.8,5.8
hard,Node_RL (warm),58.0,8.3
hard,"NodeHorizon (a=3,warm)",52.8,7.0
